"feature","p"
"SYCP2",0.947997100994268
"HUNK",0.298203245554677
"MAP2",0.662787015697937
"RPGRIP1",0.662787015697937
"TCTN2",0.0550943433101058
"MYO1A",0.298203245554677
"RIMS1",0.947997100994268
"NBEAL2",0.463633657852638
"PCDH1",0.463633657852638
"SPEG",0.201781916894921
"FILIP1",0.298203245554677
"CTCF.y",1
"FOLR4",0.463633657852638
"CNTNAP3B",0.463633657852638
"TSHZ2",0.201781916894921
"SERPINI1",0.201781916894921
"FER1L6",0.947997100994268
"NAV3",0.298203245554677
"HIST1H1C",0.463633657852638
"PAPPA2",0.947997100994268
"CHD2.y",1
"RANBP17",0.201781916894921
"SI",0.662787015697937
"FBLN2.y",0.555326691742877
"MYH14",0.201781916894921
"C6",0.463633657852638
"BRINP1",0.176054649548063
"DUOX1",0.253708427851308
"FRYL",0.662787015697937
"SCN5A",0.253708427851308
"COL12A1",0.176054649548063
"EPHA3",0.947997100994268
"SNCAIP.y",1
"PRPF8",0.0550943433101058
"ADAMTSL1",0.662787015697937
"AS3MT",0.298203245554677
"SUSD5",0.298203245554677
"CHD6",0.176054649548063
"COL6A6",0.298203245554677
"MYO6",0.298203245554677
"UNC80",0.253708427851308
"HTR4",0.463633657852638
"WDR72",0.201781916894921
"MYO16",0.662787015697937
"KIF2B",0.662787015697937
